City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,kaitangata,-46.2817,169.8464,19.98,46,93,3.73,NZ,1678493718
163,kruisfontein,-34.0033,24.7314,16.6,90,0,3.73,ZA,1678493724
164,honghu,29.8206,113.4621,17.95,72,100,1.18,CN,1678493725
165,hasaki,35.7333,140.8333,14.05,48,0,3.94,JP,1678493726
166,mana,5.6592,-53.7767,25.19,78,84,4.57,GF,1678493727
167,zeya,53.75,127.2667,-5.23,94,100,5.4,RU,1678493728
168,makakilo city,21.3469,-158.0858,25.38,58,40,4.63,US,1678493731
169,zhigalovo,54.8097,105.1578,-27.04,100,94,0.75,RU,1678493733
170,jalu,29.0331,21.5482,19.68,33,0,4.96,LY,1678493734
171,petropavlovsk-kamchatskiy,53.0452,158.6483,-5.68,63,40,2.0,RU,1678493735
172,darab,28.7519,54.5444,15.12,48,72,1.42,IR,1678493736
173,xining,36.6167,101.7667,-1.02,69,91,2.32,CN,1678493738
174,nizhniy ingash,56.2,96.53,-10.58,73,100,2.77,RU,1678493738
175,nome,64.5011,-165.4064,-11.02,67,0,0.0,US,1678493739
176,jardim,-21.4803,-56.1381,23.16,91,7,0.98,BR,1678493740
177,east london,-33.0153,27.9116,22.55,67,3,3.03,ZA,1678493741
178,te anau,-45.4167,167.7167,13.52,86,100,2.69,NZ,1678493742
179,ushtobe,45.2514,77.9838,6.31,37,43,2.64,KZ,1678493743
180,videira,-27.0083,-51.1517,18.73,98,100,1.19,BR,1678493606
181,moindou,-21.6924,165.677,27.98,60,9,3.06,NC,1678493744
182,tirthahalli,13.7,75.2333,17.69,40,0,1.7,IN,1678493745
183,mongu,-15.2484,23.1274,20.33,85,97,1.03,ZM,1678493745
184,san cristobal,7.7669,-72.225,20.1,97,99,1.55,VE,1678493746
185,zabaykalsk,49.6333,117.3167,-16.38,75,3,11.72,RU,1678493747
186,butaritari,3.0707,172.7902,27.57,78,22,6.35,KI,1678493748
187,berlevag,70.8578,29.0864,-8.03,53,40,10.29,NO,1678493748
188,raudeberg,61.9875,5.1352,-2.25,64,97,4.36,NO,1678493749
189,maragheh,37.3917,46.2398,4.39,79,7,1.38,IR,1678493749
190,codrington,-38.2667,141.9667,17.53,64,37,2.26,AU,1678493750
191,bengkulu,-3.8004,102.2655,23.72,94,100,0.79,ID,1678493751
192,thyboron,56.6985,8.2124,-2.7,88,100,6.64,DK,1678493751
193,cabedelo,-6.9811,-34.8339,27.37,78,53,4.78,BR,1678493504
194,mangaratiba,-22.9597,-44.0406,24.35,91,100,0.9,BR,1678493752
195,atherton,53.5237,-2.4935,0.79,84,74,1.48,GB,1678493753
